,0,1,2,3,4,5,6,7,8
2135,M,0.565,0.425,0.1,0.7145,0.3055,,,12.0
2136,F,0.56,,0.125,0.932,,,0.335,9.0
2137,F,0.59,,0.175,0.966,0.391,0.2455,0.31,10.0
2138,,0.57,0.465,,,0.405,0.277,,16.0
2139,M,,0.53,0.205,1.496,0.5825,0.337,,14.0
2140,F,0.45,0.36,0.125,,,0.105,0.16,10.0
2141,I,0.32,0.24,0.075,,0.076,0.0355,0.05,7.0
2142,I,0.46,0.35,,0.3945,0.1685,0.0865,0.125,9.0
2143,,0.47,,0.105,0.4665,0.2025,,,
2144,M,,0.35,0.105,,0.1575,0.083,,
2145,F,0.415,0.325,,,0.1405,0.0765,0.11,9.0
2146,M,0.465,0.35,0.12,0.5205,0.2015,0.1625,0.185,
2147,M,0.46,0.375,0.135,0.4935,0.186,0.0845,,12.0
2148,,,0.31,0.09,0.3245,0.1305,0.0735,0.115,8.0
2149,M,0.27,0.195,0.07,0.106,0.0465,,0.036,7.0
2150,M,,0.355,0.11,0.4415,0.1805,0.1035,,10.0
2151,F,0.745,0.585,0.19,,,0.437,0.5855,18.0
2152,F,0.4,0.3,0.115,0.3025,0.1335,0.0465,0.0935,8.0
2153,I,0.28,0.2,0.075,0.1225,0.0545,0.0115,0.035,5.0
2154,,,0.44,0.135,0.879,0.368,,0.265,
2155,,0.58,0.46,0.165,1.2275,0.473,0.1965,0.435,16.0
2156,M,,0.5,0.165,1.2715,,,0.49,12.0
2157,M,0.62,,,,0.643,,0.725,17.0
2158,,,0.42,,0.8085,0.3025,,,14.0
2159,F,,0.51,0.2,1.3905,0.61,0.3315,0.41,12.0
2160,,0.69,0.55,0.2,1.8465,0.732,,0.57,19.0
2161,F,0.715,0.565,0.24,2.1995,,0.465,0.885,17.0
2162,F,0.71,0.565,,1.817,0.785,,0.49,11.0
2163,F,0.55,0.47,0.15,0.897,0.377,,0.29,9.0
2164,M,,,0.09,0.3245,0.1395,0.0565,0.095,5.0
2165,,0.61,,,,0.414,0.311,0.3,9.0
2166,I,,,,0.2735,0.115,0.061,0.085,6.0
2167,F,0.37,0.275,0.085,,,0.0535,,5.0
2168,M,0.335,0.235,,,,0.0345,0.045,6.0
2169,,0.165,0.115,0.015,0.0145,0.0055,0.003,,4.0
2170,M,0.285,0.21,,0.1185,0.055,0.0285,0.04,7.0
2171,,0.19,0.13,0.03,0.0295,0.0155,0.015,0.01,
2172,I,0.215,0.15,0.03,0.0385,0.0115,0.005,0.01,5.0
2173,M,0.595,0.465,0.125,0.799,0.3245,0.2,0.23,
2174,F,,0.5,0.17,1.1845,,0.274,0.355,
2175,M,,0.45,,,,0.197,,12.0
2176,F,,0.45,0.17,,0.414,0.187,0.405,20.0
2177,F,0.58,0.45,0.235,1.071,0.3,0.206,,
2178,F,0.595,0.48,0.2,,,0.2035,0.34,15.0
2179,F,0.595,0.47,0.25,1.283,,0.2475,0.445,14.0
2180,F,,,0.165,1.0595,0.358,0.165,0.445,21.0
2181,M,0.535,0.42,0.165,0.9195,0.3355,0.1985,0.26,16.0
2182,M,0.55,0.43,0.16,,0.317,0.1735,0.355,13.0
2183,M,,0.4,0.155,0.8085,0.2345,0.1155,0.35,6.0
2184,,,0.235,0.08,0.1485,0.064,0.031,0.045,6.0
2185,M,0.445,0.34,,0.4475,,0.1035,,9.0
2186,F,0.52,0.4,0.125,0.6865,,,0.185,9.0
2187,M,0.495,,0.135,0.6335,,0.1225,0.26,14.0
2188,,0.47,0.37,,0.547,,0.1325,0.17,12.0
2189,F,0.49,0.37,,0.585,0.243,0.115,,10.0
2190,M,0.58,0.47,0.165,,0.3215,0.1985,0.315,11.0
2191,M,0.645,0.495,0.185,,,0.2785,0.455,
2192,,0.575,0.485,0.165,,0.419,0.264,0.3,
2193,I,0.215,0.17,,0.0605,,0.014,0.02,6.0
2194,I,0.43,0.325,,0.3675,,0.0935,,13.0
2195,I,0.26,0.215,,0.099,0.037,0.0255,0.045,
2196,I,0.37,0.28,0.09,,0.0905,0.0545,,11.0
2197,I,0.405,,,0.3625,0.1565,,0.125,10.0
2198,,0.27,,0.08,,,0.0195,0.03,6.0
2199,F,0.68,0.55,,1.596,0.525,0.4075,0.585,21.0
2200,F,0.65,0.515,0.195,1.4005,0.5195,0.36,0.44,13.0
2201,F,0.645,0.49,,,0.4265,0.2285,0.51,25.0
2202,M,,0.405,0.16,0.9245,0.3445,0.2185,0.295,
2203,M,0.615,0.48,0.19,1.36,0.5305,0.2375,0.47,18.0
2204,M,0.42,0.345,0.105,0.43,0.175,0.096,,
2205,I,0.275,0.22,0.08,,0.0565,0.0285,,6.0
2206,F,,0.225,,0.14,0.0515,0.0235,0.04,5.0
2207,M,0.42,0.34,,0.4215,,0.093,,8.0
2208,F,,0.525,0.215,,0.5115,0.2595,0.665,16.0
2209,F,0.55,0.465,0.18,1.2125,0.3245,0.205,0.525,27.0
2210,M,0.66,0.505,0.2,1.6305,0.4865,0.297,,18.0
2211,M,0.565,0.47,0.195,1.142,0.387,,0.35,17.0
2212,F,0.595,,0.235,1.366,0.5065,0.219,0.52,13.0
2213,,0.63,,0.23,1.539,0.5635,0.2815,0.57,17.0
2214,F,0.43,0.325,0.12,0.445,0.165,,0.155,8.0
2215,F,0.455,0.35,0.14,0.5725,0.1965,0.1325,,10.0
2216,I,,0.26,0.08,0.19,0.0765,0.0385,,7.0
2217,F,0.515,0.415,0.13,0.764,0.276,,0.25,
2218,M,0.495,0.39,,0.853,0.3285,0.189,,14.0
2219,F,0.485,0.375,,,0.2385,0.1155,0.19,13.0
2220,F,0.535,0.46,0.145,0.7875,0.3395,0.2005,0.2,8.0
2221,M,0.58,0.465,0.175,1.035,0.401,0.1865,0.385,17.0
2222,,0.625,0.525,0.195,1.352,0.4505,,0.53,13.0
2223,F,0.555,,,,0.296,,0.39,
2224,F,0.55,0.425,,,0.297,0.15,0.265,9.0
2225,,0.59,,,0.857,0.356,0.174,0.28,13.0
2226,,,0.28,,0.2235,0.0815,0.0525,0.08,7.0
2227,I,0.275,0.2,0.075,0.086,,,0.03,7.0
2228,F,,,0.175,0.692,0.267,,0.215,12.0
2229,M,0.37,0.28,0.095,,0.0805,0.051,0.075,7.0
2230,M,0.555,0.43,,0.7575,0.2735,,0.275,13.0
2231,F,0.505,,,,0.2675,0.155,,9.0
2232,F,0.56,0.445,0.18,0.903,0.3575,,,9.0
2233,M,,,,1.0965,0.419,0.229,0.35,17.0
2234,,0.57,0.45,0.165,0.903,0.3305,0.1845,0.295,14.0
2235,,,0.48,0.175,1.229,0.4125,0.2735,0.415,13.0
2236,,0.56,0.435,0.185,,0.422,0.2435,,15.0
2237,M,,0.465,0.19,1.171,0.3905,0.2355,0.4,17.0
2238,I,0.46,0.335,0.11,,0.225,,,
2239,F,0.46,0.36,0.115,0.4755,0.2105,0.105,0.16,8.0
2240,M,0.415,0.315,0.125,0.388,0.068,,0.125,
2241,,0.435,0.32,0.12,0.3785,0.152,0.0915,0.125,11.0
2242,,0.475,0.38,0.135,,0.1735,0.07,0.185,7.0
2243,M,0.465,0.36,0.13,0.5265,0.2105,0.1185,0.165,10.0
2244,I,0.355,0.28,,0.2275,0.0935,0.0455,0.085,11.0
2245,M,0.46,0.375,,0.5105,,0.1045,,9.0
2246,F,0.38,0.325,0.11,0.3105,0.12,,0.105,10.0
2247,F,0.47,0.365,,0.543,0.2295,0.1495,0.15,9.0
2248,M,0.36,0.27,,0.2225,0.083,0.053,0.075,
2249,,0.585,0.455,0.165,0.998,0.345,0.2495,0.315,12.0
2250,M,0.655,0.59,0.2,1.5455,0.654,0.3765,0.415,11.0
2251,M,0.6,0.485,0.175,1.2675,0.4995,,0.38,13.0
2252,,0.57,0.46,0.17,,,0.2205,0.38,14.0
2253,F,0.645,0.5,0.2,1.4285,0.639,0.305,0.36,11.0
2254,M,,0.495,0.18,1.793,0.8005,0.339,0.53,14.0
2255,M,0.51,0.395,0.145,0.6185,0.216,,0.24,12.0
2256,M,0.52,0.38,,,0.2505,,0.175,8.0
2257,,0.495,0.415,0.165,,0.264,0.134,,13.0
2258,,0.43,,0.115,0.406,0.166,0.0935,0.135,8.0
2259,F,0.59,0.465,0.16,1.1005,0.506,,,13.0
2260,M,0.55,0.46,,0.869,0.3155,0.1825,0.32,
2261,M,0.585,0.43,0.16,0.955,0.3625,0.176,0.27,11.0
2262,F,,0.455,0.16,0.9215,0.312,,0.3,17.0
2263,F,0.62,0.51,0.15,1.456,,0.2875,0.32,13.0
2264,I,0.59,0.45,0.16,0.893,0.2745,0.2185,0.345,14.0
2265,,0.72,0.575,0.215,2.226,0.8955,,0.62,13.0
2266,,0.635,0.51,0.175,1.2125,0.5735,,0.36,
2267,F,0.61,0.48,0.175,1.0675,0.391,0.216,0.42,15.0
2268,F,0.545,0.445,,,,0.189,0.295,13.0
2269,M,0.57,0.45,0.16,0.8615,,0.2175,0.255,12.0
2270,F,0.6,0.475,0.18,1.162,0.511,0.2675,0.32,18.0
2271,,0.52,,0.17,0.8705,0.3735,0.219,,14.0
2272,,0.635,0.51,0.21,1.598,0.6535,0.2835,0.58,15.0
2273,F,0.67,0.52,,1.406,0.519,0.348,0.37,13.0
2274,,0.695,0.57,0.2,2.033,0.751,0.4255,0.685,15.0
2275,,0.655,0.525,,1.259,,0.2215,0.445,
2276,F,,,0.23,1.0935,,0.245,0.355,
2277,F,0.6,,0.18,1.1805,0.4345,,0.425,19.0
2278,M,0.51,0.405,0.13,,,,0.17,9.0
2279,,,0.405,,0.7575,0.3305,0.216,0.195,10.0
2280,,0.44,0.375,0.13,,0.226,0.0965,,9.0
2281,I,0.485,0.415,0.14,0.5705,0.25,0.134,0.185,
2282,F,0.495,0.385,0.13,0.6905,0.3125,,,10.0
2283,I,,0.345,0.12,0.4475,0.221,,0.125,7.0
2284,I,0.405,0.315,,,0.1605,,,9.0
2285,I,0.42,0.33,0.1,0.352,0.1635,0.089,0.1,9.0
2286,F,0.5,0.395,0.15,0.7145,0.3235,0.173,,9.0
2287,F,0.385,0.305,0.105,0.3315,0.1365,,0.1,
2288,I,,0.265,0.09,0.18,0.068,0.036,0.06,6.0
2289,F,0.58,0.475,0.155,,0.4305,0.23,0.285,
2290,I,,,0.1,0.185,0.08,0.0435,0.065,6.0
2291,M,0.475,0.375,0.12,,0.2525,0.1205,0.185,
2292,F,0.38,,0.09,,0.1545,,0.095,
2293,I,0.34,0.26,0.09,0.179,,0.0525,0.055,6.0
2294,M,0.525,,0.12,0.702,0.3335,0.1465,0.22,12.0
2295,F,0.52,0.415,0.145,,0.3325,0.1725,,10.0
2296,F,0.535,0.45,0.135,0.8075,0.322,0.181,,13.0
2297,,0.475,0.36,0.12,0.578,0.2825,0.12,0.17,8.0
2298,,0.415,0.325,0.1,0.385,0.167,0.08,0.125,7.0
2299,,,0.385,0.125,0.585,0.2755,0.1235,0.165,8.0
2300,F,0.48,0.405,0.13,0.6375,0.277,0.1445,0.21,
2301,F,0.52,0.425,0.15,0.813,0.385,0.2015,,10.0
2302,M,0.46,0.375,,0.5735,0.2505,0.119,0.195,
2303,F,0.58,0.455,0.12,0.94,0.399,0.257,,11.0
2304,M,0.59,0.49,0.135,1.008,0.422,0.2245,0.285,11.0
2305,F,0.55,0.415,0.135,,0.302,0.179,0.26,23.0
2306,,0.65,0.5,0.165,1.1445,,0.218,0.365,12.0
2307,F,0.465,0.375,0.135,0.6,0.2225,,0.23,16.0
2308,M,0.455,0.355,0.13,0.515,,0.1275,0.175,
2309,,0.47,0.375,,0.5795,0.2145,0.164,0.195,13.0
2310,,0.435,0.35,0.11,,0.143,0.1005,,
2311,M,0.35,0.265,0.11,,,0.063,0.085,7.0
2312,I,0.315,0.24,0.07,0.137,0.0545,,0.04,8.0
2313,M,0.595,0.47,0.145,0.991,0.4035,0.1505,,16.0
2314,F,0.58,0.475,0.135,0.925,0.391,0.165,0.275,14.0
2315,M,0.575,0.435,0.15,0.805,0.293,,0.27,17.0
2316,M,,0.435,0.155,,,0.177,0.25,
2317,M,,0.42,0.14,0.769,0.2505,0.154,0.29,13.0
2318,F,0.505,0.385,0.135,0.6185,0.251,0.1175,0.2,12.0
2319,F,0.505,0.395,0.145,0.6515,0.2695,0.153,0.205,
2320,I,0.4,0.31,0.1,0.2875,,0.0635,0.095,10.0
2321,M,0.49,0.395,0.135,,0.213,0.0925,0.215,14.0
2322,M,,,,0.7365,0.3275,0.1315,0.22,12.0
2323,I,0.395,0.325,0.105,,,0.0735,0.095,8.0
2324,F,,0.535,0.19,1.496,0.5775,,,
2325,F,0.415,0.305,0.105,0.3605,0.12,0.082,0.1,10.0
2326,M,0.43,0.345,,,0.0925,0.055,0.12,11.0
2327,M,,0.395,0.135,0.592,,0.1645,0.2,13.0
2328,F,,0.425,0.145,0.7995,0.3345,0.209,0.24,15.0
2329,I,0.48,,0.145,,0.2315,0.121,0.255,15.0
2330,I,0.42,,0.115,,0.1515,0.0795,,9.0
2331,M,0.59,0.46,0.155,0.906,,0.1485,,15.0
2332,F,,,0.135,,0.2815,0.127,0.215,9.0
2333,,0.695,0.55,0.22,1.5515,0.566,0.3835,0.445,13.0
2334,F,0.8,0.63,,,0.933,0.59,0.62,23.0
2335,M,0.61,0.49,0.15,1.103,0.425,0.2025,0.36,23.0
2336,F,,,0.175,0.957,0.3885,0.215,0.275,
2337,M,0.56,,,0.86,0.4015,,0.245,
2338,M,0.655,0.485,0.195,,0.6275,0.358,0.485,17.0
2339,M,,0.52,,,0.566,,0.455,17.0
2340,,,0.47,0.17,0.9,0.355,,,11.0
2341,,0.31,0.24,,,0.0605,0.0315,0.045,
2342,,0.255,0.185,0.07,,0.028,0.018,0.025,6.0
2343,I,0.17,0.125,,0.0235,,0.0055,0.008,6.0
2344,M,0.67,0.55,,1.247,0.472,,,21.0
2345,F,0.71,,,1.7265,0.638,0.3365,,
2346,F,0.56,0.43,0.125,0.8025,0.313,,0.263,13.0
2347,M,0.505,0.4,0.13,,0.3035,,0.2175,
2348,,0.525,0.43,0.165,,0.376,,0.2515,16.0
2349,F,,0.36,,0.4715,,0.0935,0.149,9.0
2350,F,0.515,0.435,0.17,0.631,0.2765,0.111,0.216,
2351,M,0.59,0.475,0.16,0.9455,,0.184,0.27,19.0
2352,M,0.7,,0.19,1.3185,0.548,0.233,0.42,18.0
2353,,0.72,0.56,0.175,1.7265,0.637,0.3415,0.525,17.0
2354,M,0.635,,0.15,,0.4825,0.242,0.31,11.0
2355,M,0.555,,0.135,0.9025,0.3805,0.2105,0.28,13.0
2356,M,0.575,,,1.1415,,0.204,,13.0
2357,M,0.585,0.455,0.125,1.027,0.391,0.212,0.25,
2358,F,,0.485,0.21,,0.535,,0.515,
2359,F,0.645,0.525,0.2,1.449,0.601,0.2565,,13.0
2360,F,0.545,0.44,,0.7745,,0.1875,0.265,11.0
2361,M,0.55,0.45,0.155,0.7895,0.343,0.159,,12.0
2362,F,0.66,0.525,0.205,1.3665,0.5005,0.291,0.41,18.0
2363,M,0.57,,0.195,1.0295,0.4635,0.1905,0.305,18.0
2364,F,0.6,0.47,,,0.392,0.2035,0.29,15.0
2365,F,0.63,,0.165,1.065,0.4595,0.216,0.315,
2366,,0.695,0.57,,,0.8665,0.435,,19.0
2367,M,0.65,,0.16,1.2425,0.487,,0.48,15.0
2368,,0.72,0.595,0.225,1.969,0.8045,0.423,0.66,16.0
2369,I,0.56,0.44,0.17,0.9445,0.3545,0.2175,0.3,12.0
2370,I,0.42,0.325,,0.354,0.1625,0.064,,8.0
2371,M,,0.125,0.05,0.023,0.0085,0.0055,0.01,3.0
2372,,0.405,0.325,0.11,0.3575,0.145,0.0725,0.11,12.0
2373,F,0.5,0.405,0.15,0.5965,,0.126,0.185,12.0
2374,I,0.435,0.335,,0.383,0.1555,,,12.0
2375,M,0.34,0.275,0.09,0.2065,0.0725,0.043,0.07,10.0
2376,F,0.43,,,0.382,0.154,,0.109,8.0
2377,I,0.535,0.41,0.155,0.6315,0.2745,0.1415,,12.0
2378,I,0.415,0.325,0.115,0.3285,0.1405,,0.106,12.0
2379,F,0.36,0.265,0.09,0.2165,,0.037,,10.0
2380,M,0.175,0.135,,0.0305,0.011,0.0075,0.01,
2381,M,,0.115,,0.024,,0.005,0.0075,5.0
2382,,,,0.15,0.7365,0.3225,0.161,0.215,11.0
2383,,,0.39,0.135,,,0.131,0.21,16.0
2384,,,,0.105,0.4285,0.165,0.083,0.132,11.0
2385,F,0.45,0.345,0.115,0.496,,0.117,0.14,12.0
2386,F,0.485,,0.14,0.6195,,0.1445,0.177,14.0
2387,I,0.47,0.35,0.135,,0.2315,,0.1525,11.0
2388,I,0.515,0.375,0.14,,0.2495,0.141,0.2215,10.0
2389,M,0.42,0.34,0.125,,0.165,0.1125,0.144,11.0
2390,F,0.455,0.35,0.125,0.4485,0.1585,,0.1335,16.0
2391,M,,0.29,,0.241,0.11,0.045,0.069,10.0
2392,M,0.33,,0.09,0.197,0.085,0.041,0.0605,10.0
2393,I,0.3,,0.09,,0.057,0.0335,0.043,7.0
2394,I,0.625,0.46,0.16,,0.55,0.273,0.38,14.0
2395,I,0.61,0.475,0.17,1.0385,0.4435,0.241,0.32,
2396,I,0.625,0.465,,0.972,0.404,0.1845,0.35,14.0
2397,,,0.505,0.19,1.3315,,0.252,0.435,17.0
2398,I,0.5,,0.155,0.762,0.3795,0.161,0.19,14.0
2399,,0.53,0.43,0.17,0.775,0.35,0.152,0.235,17.0
2400,I,0.445,0.33,0.1,0.437,0.163,0.0755,0.17,13.0
2401,F,,,0.155,0.6985,0.3,0.146,0.195,
2402,I,0.44,0.355,0.165,0.435,0.159,0.105,0.14,16.0
2403,M,,0.225,,,0.0535,0.026,0.045,10.0
2404,,0.555,,0.17,0.8435,0.309,0.1905,,15.0
2405,,0.655,0.515,0.145,1.25,0.5265,0.283,0.315,
2406,F,0.58,0.46,0.185,1.017,0.3515,,0.32,10.0
2407,I,0.625,0.43,0.175,1.411,0.572,0.297,0.395,12.0
2408,I,0.62,0.485,0.17,1.208,0.4805,0.3045,0.33,
2409,F,0.64,0.5,0.15,1.0705,,0.2705,0.36,8.0
2410,,0.505,0.375,0.115,0.5895,0.2635,0.12,,10.0
2411,I,,0.395,,0.537,0.2165,0.1085,,9.0
2412,M,0.31,0.245,0.095,0.15,0.0525,0.034,0.048,7.0
2413,F,,0.38,0.145,,0.2935,0.19,0.17,12.0
2414,I,0.42,0.305,0.11,0.28,0.094,0.0785,0.0955,9.0
2415,M,0.4,0.315,,0.287,,0.037,0.113,10.0
2416,M,0.425,,,0.3525,,0.0565,0.13,18.0
2417,,0.31,0.235,,0.12,,0.033,0.04,11.0
2418,F,0.465,0.35,0.13,0.494,,,,18.0
2419,F,,0.36,,0.4765,0.192,0.1125,0.16,10.0
2420,M,0.35,0.255,0.085,0.2145,0.1,0.0465,,13.0
2421,I,0.52,0.415,0.16,,0.2105,0.142,0.26,15.0
2422,,0.475,0.365,,0.4805,0.1905,,0.1475,12.0
2423,F,0.41,0.315,0.11,,0.1255,0.0655,,10.0
2424,M,0.26,0.2,0.065,0.096,,0.027,0.03,
2425,I,0.575,0.45,0.17,0.9315,,0.2145,0.26,13.0
2426,I,0.565,0.435,0.155,0.782,0.2715,0.168,0.285,14.0
2427,M,0.26,0.19,0.075,,0.0445,0.02,0.03,
2428,,0.53,0.385,0.125,0.6695,0.289,0.151,0.18,
2429,M,0.34,0.255,0.095,0.213,0.081,0.034,0.07,9.0
2430,I,0.52,,,0.525,0.1775,0.115,0.185,11.0
2431,F,0.635,,0.18,1.312,0.529,0.2485,,18.0
2432,,0.61,0.485,,,0.4255,0.232,0.38,11.0
2433,,0.66,0.515,0.18,1.523,0.54,0.3365,0.555,16.0
2434,,0.635,0.5,0.18,1.319,0.5485,0.292,0.49,16.0
2435,F,0.465,,0.135,0.579,0.208,0.1095,,14.0
2436,M,0.515,0.4,0.16,0.8175,0.2515,0.156,,
2437,I,0.335,0.24,,0.17,0.062,,,9.0
2438,F,,0.4,0.17,0.796,0.258,0.1755,0.28,
2439,F,0.345,0.255,0.1,0.197,0.071,0.051,,9.0
2440,M,0.465,0.355,0.125,0.5255,0.2025,0.135,,
2441,M,0.54,0.415,0.17,,0.339,0.208,0.255,10.0
2442,M,0.475,,0.125,,0.186,,0.145,
2443,F,0.445,0.335,0.14,0.4565,0.1785,0.114,0.14,
2444,M,0.5,0.355,0.14,0.528,0.2125,,0.14,9.0
2445,M,0.5,0.38,0.135,0.5835,,0.1265,,12.0
2446,F,0.55,0.435,0.17,0.884,0.2875,,0.28,14.0
2447,I,0.275,,0.08,,0.036,0.0185,0.03,6.0
2448,F,,0.265,0.09,,,0.0415,0.06,
2449,,,0.285,0.105,0.27,0.1125,0.0585,0.0835,9.0
2450,F,0.42,0.33,0.125,,0.186,0.11,0.145,10.0
2451,M,0.35,0.26,0.09,0.198,,0.056,0.06,
2452,M,0.395,0.305,,,0.0975,,,9.0
2453,,0.325,0.2,,0.0995,0.0395,0.0225,0.032,8.0
2454,,0.275,,0.065,,0.0385,0.0235,0.027,5.0
2455,I,0.235,,,0.0625,0.023,0.014,,6.0
2456,I,0.25,0.18,0.06,,,0.017,,5.0
2457,I,0.25,0.185,,0.071,0.027,0.0185,0.0225,5.0
2458,,0.2,0.145,,0.036,0.0125,0.008,0.011,4.0
2459,,0.585,,,1.099,0.3975,,0.358,20.0
2460,M,0.445,0.35,0.14,0.5905,0.2025,0.158,0.19,14.0
2461,F,0.5,0.385,0.13,,0.2625,0.095,0.27,
2462,,0.44,,0.08,,0.144,0.1015,0.13,
2463,M,0.515,0.405,0.14,0.8505,,0.146,0.315,17.0
2464,,0.52,,,0.6915,0.276,0.137,0.215,11.0
2465,,0.5,0.39,0.13,0.709,0.275,0.168,,11.0
2466,,,0.325,0.12,,0.142,0.1065,0.105,9.0
2467,,0.51,,0.14,0.8185,0.3025,0.2155,0.235,
2468,F,0.37,0.275,0.08,0.227,0.093,0.0625,0.07,8.0
2469,M,0.54,,,0.8245,0.272,0.226,0.24,13.0
2470,,,0.475,0.17,1.1825,0.474,0.2895,,11.0
2471,M,0.565,,,1.122,0.393,,0.375,20.0
2472,,0.645,0.515,0.175,1.6115,0.6745,0.384,0.385,14.0
2473,F,,0.47,0.175,1.2985,0.5135,0.343,0.32,14.0
2474,M,0.605,0.49,0.145,1.3,0.517,0.3285,0.31,14.0
2475,,,0.455,,1.161,0.38,,0.28,
2476,M,0.645,0.485,0.155,1.489,,0.312,0.38,18.0
2477,M,,0.42,0.155,1.008,0.377,0.193,0.34,
2478,F,0.47,0.355,0.18,0.441,0.1525,,0.135,8.0
2479,F,,0.44,0.155,0.742,0.2025,0.2005,0.2115,14.0
2480,,0.52,,0.145,0.7,,0.1905,0.24,13.0
2481,M,0.39,0.285,,0.271,0.11,0.06,0.08,8.0
2482,M,0.52,0.4,,,0.2745,0.201,0.21,12.0
2483,,0.54,0.415,0.175,,0.275,0.241,0.275,14.0
2484,,,0.36,0.135,0.6105,0.1955,0.107,0.235,14.0
2485,,0.355,0.26,0.09,0.1925,0.077,0.038,0.065,8.0
2486,F,0.49,0.4,0.145,0.6635,0.21,0.1295,,13.0
2487,F,,0.51,,1.235,0.5115,0.349,0.3065,11.0
2488,M,0.5,0.385,0.145,0.7615,0.246,0.195,0.204,14.0
2489,,0.49,0.39,,0.592,0.242,,0.1835,
2490,M,0.44,0.325,,0.39,0.163,,,7.0
2491,F,0.515,,0.165,0.7565,0.1905,0.17,0.3205,10.0
2492,F,,0.38,,0.57,0.167,0.118,0.187,11.0
2493,I,0.42,0.31,0.1,0.2865,0.115,0.0735,0.085,8.0
2494,M,0.4,0.305,0.13,0.2935,0.096,,0.105,9.0
2495,M,0.45,0.36,0.16,0.567,,0.1245,0.225,12.0
2496,F,0.52,0.4,0.13,0.6245,0.215,0.2065,0.17,15.0
2497,M,0.505,0.4,0.155,0.8415,,0.1775,,12.0
2498,M,0.495,0.4,0.14,0.7775,0.2015,,0.25,15.0
2499,M,0.54,,0.145,0.989,0.2815,,0.355,19.0
2500,F,0.48,0.39,,,0.219,0.155,0.2,12.0
2501,F,0.33,,0.08,0.2,0.0625,0.05,0.07,9.0
2502,I,0.285,0.21,0.07,,0.044,0.0265,0.033,5.0
2503,I,0.3,0.23,,0.127,,0.03,0.0345,6.0
2504,I,0.31,,0.105,,0.118,0.065,0.083,6.0
2505,I,0.34,,0.075,0.18,,0.04,,
2506,,0.375,0.3,0.075,,0.059,0.03,0.044,
2507,I,,0.325,0.1,0.4665,0.2285,0.1065,0.114,7.0
2508,I,0.415,,0.105,0.33,,0.0705,0.095,6.0
2509,I,,0.315,0.09,0.3625,0.175,0.0835,0.093,6.0
2510,,0.42,0.32,0.1,,0.1745,0.05,0.0945,8.0
2511,I,0.425,,0.105,,0.159,0.0825,0.105,
2512,M,0.465,0.375,0.11,0.5,,,0.1505,
2513,F,0.465,0.35,0.135,0.6265,0.259,0.1445,0.175,8.0
2514,I,0.47,0.37,0.11,,0.25,0.115,0.163,8.0
2515,F,0.47,,0.12,0.6015,0.2765,0.1455,0.135,8.0
2516,I,0.475,0.365,0.12,0.53,0.2505,0.0975,,10.0
2517,M,0.48,0.37,0.135,0.6315,,0.1015,0.161,7.0
2518,M,0.5,0.4,0.13,0.7715,0.37,0.16,,8.0
2519,,0.505,0.39,0.185,0.6125,,0.142,0.172,7.0
2520,M,,0.425,,0.872,,0.1725,0.199,9.0
2521,M,0.54,0.42,,0.8115,0.392,0.1455,0.2235,9.0
2522,,,0.45,,,0.387,0.15,0.2625,
2523,F,0.565,,0.15,,0.4475,0.2355,0.2485,
2524,M,,0.46,0.18,1.145,0.48,0.277,0.325,11.0
2525,M,,0.455,0.16,1.09,0.5,0.2215,,9.0
2526,M,0.59,,0.16,1.262,0.5685,,0.335,9.0
2527,M,0.595,0.49,0.185,1.185,0.482,0.2015,0.361,10.0
2528,F,0.6,0.475,0.135,1.4405,,,0.3175,9.0
2529,F,0.6,0.5,0.155,1.332,,0.2835,0.35,8.0
2530,F,0.6,0.485,0.165,1.1405,0.587,0.2175,0.288,9.0
2531,,0.605,0.475,0.175,1.201,,0.275,0.309,10.0
2532,,0.625,0.49,0.155,1.33,0.6675,,0.33,10.0
2533,M,0.63,0.5,0.185,1.362,0.5785,,0.384,10.0
2534,M,0.64,0.585,0.195,1.647,0.7225,0.331,0.471,12.0
2535,,0.64,,0.18,1.4995,,0.314,0.431,11.0
2536,,0.655,,0.165,1.6225,0.6555,0.299,0.513,12.0
2537,I,0.66,,0.215,1.786,0.6725,0.3615,0.4065,11.0
2538,M,0.66,0.535,0.2,1.791,0.733,0.318,,15.0
2539,F,0.675,0.555,,1.925,0.713,0.358,,13.0
2540,F,0.675,0.55,0.175,1.689,,0.371,,13.0
2541,F,0.69,0.55,0.18,1.659,0.8715,0.2655,0.4395,9.0
2542,F,0.695,0.53,,,,0.4195,0.6095,14.0
2543,,0.7,0.525,0.19,,0.707,0.365,0.43,10.0
2544,F,,,0.165,2.0165,1.0685,0.418,0.435,10.0
2545,I,0.205,0.15,,0.04,0.02,0.011,0.013,4.0
2546,I,0.225,0.17,0.07,0.0565,0.024,0.013,0.016,4.0
2547,I,0.23,0.18,0.05,0.064,0.0215,,0.02,
2548,I,0.275,0.195,0.07,0.0875,,0.022,,4.0
2549,I,0.28,0.21,0.055,0.106,0.0415,0.0265,,5.0
2550,I,0.28,0.22,0.08,0.1315,0.066,0.024,0.03,5.0
2551,,0.295,0.22,0.07,0.126,0.0515,0.0275,0.035,6.0
2552,,0.31,0.225,0.075,0.155,,0.037,,6.0
2553,,,0.235,0.07,0.149,0.058,0.0325,0.047,
2554,,0.34,,0.07,,0.0625,0.0395,0.07,7.0
